怪物特殊0002(886),0x0142C64A
阎王敌<禅>(5277),0x01B1827C
逆鳞断<禅>(5276),0x01B18746
霸无双<禅>(5275),0x01B18ECA
纵横天下<禅>(5274),0x01B194C2
阎王敌<煞>(5273),0x01B19D46
霸无双<煞>(5271),0x01B1A66C
纵横天下<煞>(5270),0x01B1AC82
阎王敌<玄>(5269),0x01B1B50A
逆鳞断<玄>(5268),0x01B1BA64
霸无双<玄>(5267),0x01B1BDEE
纵横天下<玄>(5266),0x01B1C41A
墨染经年(5250),0x01B1E4EA
木甲技·点破清光(5249),0x01B1E856
无双咒愿(5248),0x01B1EB5A
蹑影追风(5247),0x01B1EE78
沧海断流(5246),0x01B1F1DE
金戈光寒(5245),0x01B1F57C
铁衣似雪(5244),0x01B1FA1E
一夫当关(5243),0x01B20042
点化(5242),0x01B205A2
延时清空行冷却(5240),0x01B20962
乐韵(5239),0x01B20BC0
降临群眩晕A(5238),0x01B21160
倾城之舞(5237),0x01B2147C
灵动之舞(5236),0x01B2174E
狂野之舞(5235),0x01B21A20
娇媚之舞(5234),0x01B21CF2
触发回血(5228),0x01B22BFE
纵横冷却(5227),0x01B22FC0
宠物技能专用3(5123),0x01B5EC70
英招深渊(5120),0x01B5F348
延时焦土(5116),0x01B5FDF0
延时天牢(5115),0x01B600D8
阎王敌(5114),0x01B60408
逆鳞断(5113),0x01B60738
霸无双(5112),0x01B60980
纵横天下(5111),0x01B60CD0
召唤：通天(5110),0x01B61360
机关术：裂地(5109),0x01B61784
木甲术：山洪(5108),0x01B61B1C
神来一笔(5107),0x01B621AA
阎王敌(5106),0x01B6245A
逆鳞断(5105),0x01B6278A
霸无双(5104),0x01B629D2
横扫千军(5103),0x01B62D80
召唤：通天(5102),0x01B63088
机关术：裂地(5101),0x01B634AC
木甲术：山洪(5100),0x01B63844
神来一笔(5099),0x01B63ED2
界·天演式·和合(5097),0x01B646C8
界·天演式·六道(5096),0x01B64B66
皇极·目苍穹(5095),0x01B64F98
乾坤荡(5094),0x01B653B0
地煞狂灵·神(5093),0x01B65754
天罡正觉·神(5092),0x01B65B9E
纵横令(5091),0x01B65FCC
天籁：金蛇狂舞(5090),0x01B66346
天籁：阳春白雪(5089),0x01B66862
镜花水月(5088),0x01B66CD0
神引：梅花三弄(5087),0x01B670D6
足通(5086),0x01B67300
一闪(5085),0x01B868D6
天诛(5084),0x01B86E66
影舞·极(5083),0x01B87098
大羿王(5082),0x01B873C8
三云龙(5081),0x01B87792
万兽奔腾 (5080),0x01B87B3A
双飞火(5079),0x01B8810E
虎踞(5078),0x01B884FC
龙骧(5077),0x01B887D6
蚩魂(5076),0x01B88AB0
八肱(5075),0x01B88E76
天锁囚怨(5074),0x01B89414
涅盘重生(5073),0x01B8995E
八凶玄火(5072),0x01B89E2A
南巫天火(5071),0x01B8A704
天选道怨(5070),0x01B8AB54
灭魂狂飙(5069),0x01B8B2AE
蛊王姿态(5068),0x01B8B74A
魔魂姿态(5067),0x01B8BB80
万象生佛(5066),0x01B8BF64
大梵般若(5065),0x01B8C3AC
雷音法谕(5064),0x01B8C874
无量真言(5063),0x01B8CD82
祈福(5062),0x01B8D424
惜春(5061),0x01B8D996
风花雪月(5060),0x01B8DE8C
旧梦(5059),0x01B8E3D4
聚灵咒(5058),0x01B8E7CC
无间寂(5057),0x01B8EAD6
毁天灭地(5056),0x01B8EFB8
魔魂天咒(5055),0x01B8F422
大道无形(5054),0x01B8F7F8
天尊法身(5052),0x01B8FF6E
神剑御雷真诀(5051),0x01B905CC
雪琪*大道无形(5050),0x01B90BB6
雪琪*天尊法身(5048),0x01B9132C
雪琪*神剑御雷(5047),0x01B9198A
碧瑶*神来一笔(5046),0x01B91F78
碧瑶*风花雪月(5045),0x01B92376
碧瑶*旧梦 (5044),0x01B928BE
碧瑶*万兽奔腾 (5043),0x01B92CD4
鬼厉*霸无双(5042),0x01B93252
鬼厉*雷音法谕(5041),0x01B935E0
鬼厉*神剑御雷(5040),0x01B93B02
鬼厉*大梵般若(5039),0x01B94104
清心<通用>(5035),0x01B954FE
知音<通用>(5030),0x01B9743E
幽谷<通用>(5029),0x01B97B88
狂雷<通用>(5028),0x01B985FC
怒涛<通用>(5027),0x01B98F3A
天映<火曜>(5023),0x01B9AEFE
弥勒<金曜>(5020),0x01BC078C
月读<月曜>(5019),0x01BC0DB8
猎魂·改<计都>(5017),0x01BC1CC2
化功·改<罗候>(5016),0x01BC2172
地缚·改<土曜>(5015),0x01BC2682
毒火·改<火曜>(5014),0x01BC2C50
甘霖·改<水曜>(5013),0x01BC3120
枯荣·改<木曜>(5012),0x01BC3722
碎金·改<金耀>(5011),0x01BC3BF2
耀阳·改<日曜>(5009),0x01BC453C
牵机-遥控炸弹(5004),0x01BC51AE
牵机-造化涡流(5003),0x01BC53D6
牵机-吸引机关(4995),0x01BC7134
牵机-魅惑机关(4994),0x01BC7464
牵机-弹飞机关(4993),0x01BC7874
牵机-定身机关(4992),0x01BC7B42
传送（诅咒）(4991),0x01BC7F5C
牵机-陷阱(4990),0x01BC8224
牵机-毒雾机关(4989),0x01BC853C
傀儡特技5(4988),0x01BC88E2
傀儡特技4(4987),0x01BC8EAE
傀儡特技3(4986),0x01BC93DC
傀儡特技2(4985),0x01BC98E8
2013国庆节喝酒6(4983),0x01BC9EF4
2013国庆节喝酒5(4982),0x01BCA67E
2013国庆节喝酒4(4981),0x01BCADD8
2013国庆节喝酒3(4980),0x01BCB532
2013国庆节喝酒2(4979),0x01BCBC00
家园用秒杀(4978),0x01BCC37C
2013召唤渔民(4935),0x01BF56EC
种族天赋(4934),0x01BF59AE
2013国庆节喝酒1(4933),0x01BF5C38
2013国庆节渔民(4932),0x01BF631E
2013国庆节螃蟹挑衅(4931),0x01BF6608
照妖镜·小衍玄光(4881),0x01C153C4
逆鳞断(4879),0x01C15CA6
霸无双(4878),0x01C15F86
纵横天下(4877),0x01C164C8
狂澜术(4874),0x01C172A2
背水(4873),0x01C17924
焦土(4872),0x01C18026
麒麟化身(4871),0x01C18816
升龙战法(4870),0x01C18E40
无定战法(4869),0x01C19204
横扫千军(4868),0x01C19614
直捣黄龙(4867),0x01C19966
固若金汤(4866),0x01C19DFA
计·围魏救赵(4865),0x01C1A364
血刃(4864),0x01C1A9D8
天牢(4863),0x01C1B2C0
令·冲锋(4862),0x01C1B9AE
阵·十面埋伏(4861),0x01C1BE50
阵·奇门遁甲(4860),0x01C1C3B2
分化术(4856),0x01C1D598
攻坚(4855),0x01C1DB2A
蔽日(4854),0x01C1E3DE
怒涛战法(4852),0x01C1EF80
山岚战法(4851),0x01C1F48A
开山(4850),0x01C1FA00
阵·天罡伏魔(4849),0x01C1FD88
阵·五行八卦(4848),0x01C20198
牵制术(4847),0x01C2056A
阻截(4843),0x01C2135A
践踏(4842),0x01C21B4A
计·调虎离山(4841),0x01C22184
有声活动NPC祝福01(4828),0x01C4A114
电台召唤01(4827),0x01C4A490
有声任务用眩晕(4826),0x01C4A794
有声任务用流血(4825),0x01C4AA44
召唤：通天(4819),0x01C4B74C
机关术：裂地(4818),0x01C4BC48
神来一笔(4816),0x01C4CD0C
召唤：菡萏(4815),0x01C4D078
浮生若梦(4814),0x01C4D416
心境澄明(4813),0x01C4D82A
慧眼问道(4812),0x01C4DBC0
机关术：红尘(4811),0x01C4E254
木甲术：百劫(4809),0x01C4E926
妙笔生辉(4807),0x01C4F704
召唤：浩渺(4806),0x01C4F9E4
机关术：桃源(4803),0x01C50632
机关术：飞泉(4802),0x01C50A56
木甲术：惊涛(4800),0x01C515DC
木甲术：浩渺(4799),0x01C51DAE
银钩铁画(4798),0x01C524F6
召唤：燃薪(4797),0x01C527A8
李代桃僵(4796),0x01C52BAC
灵动(4795),0x01C53036
机关术：余烬(4794),0x01C53406
机关术：迷踪(4793),0x01C5388E
木甲术：焦灼(4791),0x01C54324
木甲术：燎原(4790),0x01C54AFA
妙笔连珠(4789),0x01C551F0
傀儡特技1(4788),0x01C55440
木甲：岳神(4787),0x01C5592C
木甲：妙谛(4786),0x01C55DF4
木甲：鲲鹏(4785),0x01C562BC
木甲：炎虎(4784),0x01C56784
木甲：魔蝎(4783),0x01C56C10
明慧(4780),0x01C57838
神机：诡雷(4778),0x01C57DB4
蛮烟(4777),0x01C58150
木甲术：连环(4774),0x01C589A2
神行(4773),0x01C590B0
木甲术：毒疠(4772),0x01C59492
点睛之笔(4771),0x01C5998C
白牛变身任务取消(4770),0x01C59BB0
白牛变身任务版(4769),0x01C59E94
返璞归真(4768),0x01C5A206
放飞喜鹊(4767),0x01C5A57C
抽打(4766),0x01C5A880
驱赶(7122),0x01C80BA2
驱赶(7121),0x01C80DB2
驱赶(7120),0x01C80FC2
百分比掉血(7119),0x01C811D2
无极战场5(7115),0x01C8194C
无极战场4(7114),0x01C81B00
无极战场3(7113),0x01C81CBE
无极战场2(7112),0x01C81E7C
无极战场1(7111),0x01C8203A
白牛变身(4765),0x01CA61AE
怪展示技能B(4764),0x01CA6608
怪展示技能A(4763),0x01CA687E
上古日常挂机怪技能(4762),0x01CA6B06
英烈一击(4761),0x01CA6D64
天界演武战场BUFF(4760),0x01CA7048
闷棍(4759),0x01CA73AA
GT持续加攻(4751),0x01CA7F1A
秘法·百无禁忌(4749),0x01CA835A
秘法·名动四方(4748),0x01CA8582
秘法·九霄惊雷(4747),0x01CA87DE
秘法·弦落九天(4746),0x01CA8A06
秘法·力透千钧(4745),0x01CA8C2E
秘法·千虹贯日(4744),0x01CA8E56
秘法·斧动八方(4743),0x01CA907E
秘法·五焰燎原(4742),0x01CA92A6
秘法·万蛊噬天(4741),0x01CA94CE
秘法·横扫六合(4740),0x01CA96F6
秘法·五蕴皆空(4739),0x01CA991E
秘法·三环套月(4738),0x01CA9B46
秘法·十方俱灭(4737),0x01CA9D6E
鲜花榜回血光效2(4736),0x01CA9F62
鲜花榜回血光效(4735),0x01CAA1D6
台历武器变色(4734),0x01CAA44A
发放物品(4733),0x01CAA728
召唤生物(4732),0x01CAA9DC
损失当前比例气血(4731),0x01CAAE1E
金蛇狂舞(4730),0x01CAB0DA
2013春节烟花(4729),0x01CAB5F4
2013春节随机元宝雨(4728),0x01CAB85A
2013春节加防加蓝(4727),0x01CABBD0
2013春节加防加血(4726),0x01CABF98
2013春节加攻加蓝(4725),0x01CAC37E
2013春节加攻加血(4724),0x01CAC746
GT持续加攻(4723),0x01CACAC4
GT持续回蓝(4722),0x01CACD5A
GT持续回血(4721),0x01CACFDA
上古副本陷阱本体怪(4720),0x01CAD2C4
上古副本陷阱关BUFF蓝(4719),0x01CAD7D6
上古副本陷阱关BUFF黄(4718),0x01CADB32
上古副本陷阱关BUFF红(4717),0x01CADE8E
有声活动NPC祝福(4716),0x01CAE1D2
电台召唤(4714),0x01CAE776
真元回复(4713),0x01CAEA62
真元回复一(4712),0x01CAEDF8
神农之锄(4711),0x01CAF1A6
上古副本7关技能3(4705),0x01CAFABE
上古副本7关技能2(4704),0x01CAFDBA
上古副本7关技能1(4703),0x01CB0118
上古副本6关技能3(4701),0x01CCD936
上古副本6关技能2(4700),0x01CCDC08
上古副本6关技能1(4699),0x01CCDFF6
上古副本5关技能2(4696),0x01CCE536
上古副本5关技能1(4695),0x01CCEB76
上古副本4关技能1(4691),0x01CCF26C
上古副本3关技能4(4690),0x01CCF598
上古副本3关技能3(4689),0x01CCF868
上古副本3关技能2(4688),0x01CCFB60
上古副本3关技能1(4687),0x01CCFE2E
上古副本2关技能4(4686),0x01CD00C8
上古副本2关技能3(4685),0x01CD0586
上古副本2关技能2(4684),0x01CD0858
上古副本2关技能1(4683),0x01CD0B6E
上古副本1关召唤怪技能(4682),0x01CD0E42
上古副本1关技能3(4681),0x01CD1060
上古副本1关技能2(4680),0x01CD13A4
上古副本1关技能2(4679),0x01CD174C
上古副本1关技能1(4678),0x01CD1ACA
神农网(4677),0x01CD1FD0
三千界被动(4676),0x01CD22DE
定风波被动(4675),0x01CD25D0
界·天演式·六道<禅>(4674),0x01CD2970
界·天演式·六道<禅>(4673),0x01CD2D4E
界·天演式·六道<禅>(4672),0x01CD3246
界·天演式·六道<禅>(4671),0x01CD373E
界·天演式·六道<禅>(4670),0x01CD3C36
界·天演式·六道<煞>(4669),0x01CD412E
界·天演式·六道<煞>(4668),0x01CD4458
界·天演式·六道<煞>(4667),0x01CD489C
界·天演式·六道<煞>(4666),0x01CD4CE0
界·天演式·六道<煞>(4665),0x01CD5124
界·天演式·六道<玄>(4664),0x01CD5568
界·天演式·六道<玄>(4663),0x01CD5A02
界·天演式·六道<玄>(4662),0x01CD5FAA
界·天演式·六道<玄>(4661),0x01CD655E
界·天演式·六道<玄>(4660),0x01CD6AFA
海外任务用-蓝(4658),0x01CD7218
海外任务用-血(4657),0x01CD7472
海外任务用-防御(4656),0x01CD76CC
海外任务用-攻击(4655),0x01CD7944
取消变身(4654),0x01CD7BF0
国祚：皇(4653),0x01CD8088
敕命：皇(4652),0x01CD83D4
御极：皇(4651),0x01CD86DC
国祚：昊(4650),0x01CD8A48
敕命：昊(4649),0x01CD8D94
御极：昊(4648),0x01CD909C
国祚：华(4647),0x01CD9408
敕命：华(4646),0x01CD9754
御极：华(4645),0x01CD9A5C
国祚：影(4644),0x01CD9EAE
敕命：影(4643),0x01CDA1FA
御极：影(4642),0x01CDA502
国祚：烈(4641),0x01CDA8FA
敕命：烈(4640),0x01CDAC46
御极：烈(4639),0x01CDAF4E
国祚：武(4638),0x01CDB2BA
敕命：武(4637),0x01CFA794
御极：武(4636),0x01CFAA9C
武者：皇(4635),0x01CFAE20
斗魂：皇(4634),0x01CFB222
兵鉴：皇(4633),0x01CFB7D4
临玄：皇(4632),0x01CFBC12
将军令：皇(4631),0x01CFBF52
关山月：皇(4630),0x01CFC4C4
凤求凰：皇(4629),0x01CFC796
龙翔操：皇(4628),0x01CFCB58
※ 作废 ※(4627),0x01CFCEDE
※ 作废 ※(4626),0x01CFD0C4
※ 作废 ※(4625),0x01CFD2AA
※ 作废 ※(4624),0x01CFD490
※ 作废 ※(4623),0x01CFD676
※ 作废 ※(4622),0x01CFD85C
※ 作废 ※(4621),0x01CFDA42
※ 作废 ※(4620),0x01CFDC28
※ 作废 ※(4619),0x01CFDE0E
※ 作废 ※(4618),0x01CFDFF4
※ 作废 ※(4617),0x01CFE1DA
※ 作废 ※(4616),0x01CFE3C0
※ 作废 ※(4615),0x01CFE5A6
※ 作废 ※(4614),0x01CFE78C
※ 作废 ※(4613),0x01CFE972
※ 作废 ※(4612),0x01CFEB58
※ 作废 ※(4611),0x01CFED3E
※ 作废 ※(4610),0x01CFEF24
※ 作废 ※(4609),0x01CFF10A
八蛛矛：皇(4608),0x01CFF3F4
七里香：皇(4607),0x01CFF7A0
六觉身：皇(4606),0x01CFFB92
五行遁：皇(4605),0x01CFFF48
斗神祭：皇(4604),0x01D003B2
天雷落：皇(4603),0x01D007D0
鬼斧袭：皇(4602),0x01D00C70
血魂震：皇(4601),0x01D00F2A
四濯：皇(4600),0x01D01340
三叹：皇(4599),0x01D01600
双娇：皇(4598),0x01D01964
孤星：皇(4597),0x01D01D60
元·无间<禅>(4594),0x01D02F3E
皇极·目苍穹<禅>(4593),0x01D0378E
界·天演式·六道<煞>(4592),0x01D03BC6
元·无间<煞>(4590),0x01D04902
皇极·目苍穹<煞>(4589),0x01D05228
涅·皇天法魂术<玄>(4587),0x01D05E46
元·无间<玄>(4586),0x01D064FA
皇极·目苍穹<玄>(4585),0x01D06EB0
碎涅·弥陆II(4583),0x01D076A6
净涅·亚光II(4582),0x01D07AFE
净涅·朔星II(4581),0x01D07DB0
界·天演式·和合II(4580),0x01D08126
碎涅·劫·定风波II(4578),0x01D0868E
净涅·劫·听仇II(4577),0x01D08916
碎涅·劫·暗香浮动II(4576),0x01D08BD4
霸元·介II(4575),0x01D08EDE
碎涅·罡·三千界II(4573),0x01D29642
净涅·罡·存照II(4572),0x01D298CA
碎涅·罡·连星II(4571),0x01D29B88
天元·由II(4570),0x01D29ED4
国祚：皇(4569),0x01D2A146
敕命：皇(4568),0x01D2A492
御极：皇(4567),0x01D2A79A
君临：皇(4566),0x01D2AAD2
国祚：昊(4565),0x01D2AFAE
敕命：昊(4564),0x01D2B2FA
御极：昊(4563),0x01D2B602
君临：昊(4562),0x01D2B93A
国祚：华(4561),0x01D2BE16
敕命：华(4560),0x01D2C162
御极：华(4559),0x01D2C46A
君临：华(4558),0x01D2C888
国祚：影(4557),0x01D2CD64
敕命：影(4556),0x01D2D0B0
御极：影(4555),0x01D2D3B8
君临：影(4554),0x01D2D77C
国祚：烈(4553),0x01D2DC58
敕命：烈(4552),0x01D2DFA4
御极：烈(4551),0x01D2E2AC
君临：烈(4550),0x01D2E5E4
国祚：武(4549),0x01D2EAC0
敕命：武(4548),0x01D2EE0C
御极：武(4547),0x01D2F114
君临：武(4546),0x01D2F44C
召唤兽_炮台怪2(4545),0x01D2F928
瞬冷却(4544),0x01D2FC38
翔冷却(4543),0x01D2FF5A
御极：烈(4542),0x01D30274
九黎法宝延时(4541),0x01D305F8
界·天演式·六道(4540),0x01D3096C
界·天演式·六道(4539),0x01D30C56
界·天演式·六道(4538),0x01D31044
界·天演式·六道(4537),0x01D31432
界·天演式·六道(4536),0x01D31820
界·天演式·六道(4535),0x01D31C0E
涅·皇天法魂术(4534),0x01D320E0
皇极·目苍穹(4532),0x01D32C9A
至尊无上（人）(4451),0x01D7D79E
至尊无上（地）(4450),0x01D7DC60
至尊无上（天）(4449),0x01D7E122
四象宫清除龙真气盾(4448),0x01D7E796
2012跨服战旗祝福3(4447),0x01D7EB80
2012跨服战旗祝福2(4446),0x01D7F064
2012跨服战旗祝福1(4445),0x01DA0D44
2012战旗6V6季军召唤3(4444),0x01DA1228
2012战旗6V6亚军召唤2(4443),0x01DA1544
2012战旗6V6冠军召唤1(4442),0x01DA1860
四象宫青龙技能-群攻(4441),0x01DA1B7C
召唤兽_炮台怪(4440),0x01DA1DD4
召唤兽_天光阵(4439),0x01DA23FA
召唤兽_暗影兽(4438),0x01DA28D0
召唤兽_光结界(4437),0x01DA2AEE
召唤兽_暗结界(4436),0x01DA2E88
上古龙族星盘BUFF(4407),0x01DA579A
2012战旗6V6 3(4406),0x01DA5BAA
2012战旗6V6 2(4405),0x01DA5EC6
驱散毒雾(4404),0x01DA61FA
四象宫双子阴-群昏睡+虚弱(4403),0x01DA6618
四象宫双子阴-清buff(4402),0x01DA69F2
四象宫双子阴-群攻降低技能命中(4401),0x01DA6D14
四象宫双子阳-嗜血2(4400),0x01DA7004
四象宫双子阳-群攻晕(4399),0x01DA72E8
四象宫双子阳-自身祝福(4398),0x01DA75B2
四象宫双子阳-灼烧攻击(4397),0x01DA79E6
四象宫朱雀技能-群攻加强(4396),0x01DA7CBC
四象宫朱雀小火凤蓝-虚弱(4395),0x01DA7FFC
四象宫朱雀小火凤黄-禁食(4394),0x01DA8316
四象宫朱雀小火凤绿-叠伤(4393),0x01DA87BA
四象宫朱雀小火凤红-流血定身(4392),0x01DA8AC8
四象宫朱雀技能-群攻(4391),0x01DA8E64
四象宫白虎阵眼-诅咒(4390),0x01DA926E
2012跨服6V6冠军战旗技能(4389),0x01DA96BE
2012战旗6V6(4388),0x01DA9BA2
四象宫白虎十字雷光阵(4387),0x01DA9EBE
四象宫白虎技能-群攻(4386),0x01DAA1E4
四象宫青龙技能-祝福自身(4385),0x01DAA40C
四象宫青龙红龙-自爆(4384),0x01DAA794
四象宫青龙技能-回血(4383),0x01DAAA2E
四象宫青龙技能-群控(4382),0x01DAAD38
四象宫玄武毒物-群攻(4361),0x01DCAEAE
四象宫玄武蛇技能-禁食(4360),0x01DCB1F6
四象宫玄武技能-普通群攻2(4359),0x01DCB4A8
四象宫玄武技能-普通群攻(4358),0x01DCB7F2
界·天演式·六道(4356),0x01DCBD32
界·天演式·六道(4355),0x01DCC05C
界·天演式·六道(4354),0x01DCC4A0
界·天演式·六道(4353),0x01DCC8E4
界·天演式·六道(4352),0x01DCCD28
#N/A(4351),0x01DCD16C
凝心聚力(7026),0x01E539DE
神融气泰(7025),0x01E53D0C
肝胆相照(7024),0x01E54042
无坚不摧(7023),0x01E5434A
披荆斩棘(7022),0x01E54680
同仇敌忾(7021),0x01E54952
沉沼(7006),0x01E56D56
幻之暗香(4114),0x01E771A8
幻之连星(4113),0x01E774EE
守护者祝福  (4043),0x01EBD96A
守护者刀山  (4042),0x01EBDC76
守护者石精(4041),0x01EBDF6E
守护者能量石(4040),0x01EBE548
皇极·目苍穹(4036),0x01EBFF9A
天元·由(4031),0x01EC1858
霸元·介(4030),0x01EC1D54
皇极·冥(4029),0x01EC21D4
界·天演式·和合(4028),0x01EC253A
碎涅·罡·三千界(4024),0x01EC3198
碎涅·劫·定风波(4023),0x01EC3862
莲华·翔(4020),0x01EC42C0
莲华·瞬(4019),0x01EC4AC8
碎涅·弥陆(4018),0x01EC5328
碎涅·罡·连星(4017),0x01EC5618
碎涅·劫·暗香浮动(4016),0x01EC59CE
净涅·罡·存照(4015),0x01EC5E08
净涅·劫·听仇(4014),0x01EC6314
天元·晖(4013),0x01EC67D2
霸元·夕(4012),0x01EC6BB2
里裔引·龙歌(4011),0x01EC6EF2
净涅·亚光(4009),0x01EC75BE
极·祖灵·启辉(4006),0x01EC7D3A
极·祖灵·枭夜(4005),0x01EC8152
净涅·罡·静雨(4004),0x01EC85BA
净涅·劫·秋鸣(4003),0x01EC8A6E
碎涅·龙元(4000),0x01EC9530
界·遁光式·千行(3999),0x01EC97CA
里界·霁云(3998),0x01EC9D9A
净涅·朔星(3997),0x01EF026E
#N/A(3996),0x01EF04B8
#N/A(3995),0x01EF06F6
#N/A(3994),0x01EF0934
#N/A(3993),0x01EF0B72
#N/A(3992),0x01EF0DB0
#N/A(3991),0x01EF0FD0
人皇兑换加攻防(3990),0x01EF11A4
人皇兑换加全抗(3989),0x01EF15FC
人皇兑换加减爆伤(3988),0x01EF1856
人皇兑换加减暴击(3987),0x01EF1ACE
人皇兑换加爆伤(3986),0x01EF1D46
人皇兑换加暴击(3985),0x01EF1FBE
八门遁甲·死道(3983),0x01EF252E
八门遁甲·绝伤(3982),0x01EF27CE
八门遁甲·杜行(3981),0x01EF2A70
八门遁甲·景狐(3980),0x01EF2D20
八门遁甲·开天(3979),0x01EF303C
测试测试(3978),0x01EF3316
八门遁甲·休止(3977),0x01EF36A6
八门遁甲·惊神(3976),0x01EF3BE0
八门遁甲·化生(3975),0x01EF3FB2
守护者刑罚(3974),0x01EF44AE
守护者减伤(3973),0x01EF47E2
丢水球npc(3972),0x01EF4AD8
爬塔-强力群攻(3971),0x01EF4CF6
爬塔-收回召唤兽(3970),0x01EF4F36
爬塔-驱散目标身上状态(3969),0x01EF5270
爬塔-受到伤害增加攻击(3968),0x01EF55CE
爬塔-技能镜(3967),0x01EF5A26
爬塔-无敌(3966),0x01EF5D86
爬塔-麻痹(3964),0x01EF66C4
爬塔-残废(3963),0x01EF6AE2
爬塔-打断技能(3962),0x01EF6E40
爬塔-冰封术(3961),0x01EF7204
爬塔-免疫伤害和负面效果(3960),0x01EF757C
爬塔-增加全抗(3959),0x01EF78CC
爬塔-降低目标被暴击伤害(3958),0x01EF7C60
爬塔-降低目标被暴击概率(3957),0x01EF8030
爬塔-每次攻击损失气血(3956),0x01EF8400
爬塔-受攻击增加累积伤害(3955),0x01EF86F6
爬塔-周期昏睡(3954),0x01EF8AF6
爬塔-周期定身(3953),0x01EF8E42
爬塔-周期眩晕(3952),0x01EF918E
爬塔-周期魅惑(3951),0x01EF94D2
爬塔-降低技能躲闪(3950),0x01EF981E
爬塔-降低技能命中(3949),0x01EF9B6C
爬塔-降低目标全抗(3948),0x01EF9E98
爬塔-增加目标被暴击率(3947),0x01EFA228
爬塔-增加目标被暴击伤害(3946),0x01EFA56C
爬塔-增加致命一击率(3945),0x01EFA8A8
爬塔-增加技能躲闪(3944),0x01EFAC08
爬塔-增加技能命中(3943),0x01EFAFD8
爬塔-增加致命一击伤害(3942),0x01EFB3A8
爬塔-所有技能伤害降低(3941),0x01EFB778
爬塔-伤害增加(3940),0x01EFBA78
爬塔-随机进入不利状态(3939),0x01EFBD9E
爬塔-清除有利状态(3938),0x01EFC1EC
爬塔-降低缓慢抗性(3937),0x01EFC49E
爬塔-降低虚弱抗性(3936),0x01EFC79C
爬塔-降低昏睡抗性(3935),0x01EFCA9A
爬塔-降低定身抗性(3934),0x01EFCD98
爬塔-降低眩晕抗性(3933),0x01F1C57E
爬塔-降低魅惑抗性(3932),0x01F1C87C
爬塔-降低躲闪(3931),0x01F1CB7A
爬塔-降低命中(3930),0x01F1CE7A
爬塔-持续减少防御(3929),0x01F1D17A
爬塔-持续减少攻击(3928),0x01F1D4A6
爬塔-减少致命一击率(3927),0x01F1D7D2
爬塔-减少致命一击伤害(3926),0x01F1DB40
爬塔-增加攻击(3925),0x01F1DEBE
爬塔-增加躲闪(3924),0x01F1E30A
爬塔-治疗(3923),0x01F1E6E2
爬塔-降低攻击(3922),0x01F1EA9A
爬塔-降低防御(3921),0x01F1EE16
爬塔-减MP(3920),0x01F1F176
爬塔-减HP(3919),0x01F1F486
爬塔-缓慢(3918),0x01F1F742
爬塔-虚弱(3917),0x01F1FA9E
爬塔-昏睡(3916),0x01F1FE1C
爬塔-定身(3915),0x01F20152
爬塔-眩晕(3914),0x01F20472
爬塔-魅惑(3913),0x01F2078A
星语·十步一杀(3912),0x01F20AA2
星语·不动明王(3911),0x01F20D1A
星语·冰清玉洁(3910),0x01F20FBC
星语·身外化身(3909),0x01F2126C
星语·腾云(3908),0x01F21514
星语·镇灵(3907),0x01F218CE
星语·拔山(3906),0x01F21C0A
星语·天目(3905),0x01F22082
星语·血典(3904),0x01F223CE
火雨术(3903),0x01F22966
水球大战_玩家的水球(3902),0x01F22B8E
打倒怪叔叔(3901),0x01F22EDC
五年之庆(3900),0x01F231A0
取消变身(3899),0x01F23532
我是女王(3898),0x01F238A8
南疆三友(3897),0x01F23D84
南疆三友(3896),0x01F24260
南疆三友(3895),0x01F2473C
冰原之恋(3894),0x01F24C18
冰原之恋(3893),0x01F25100
元婴任务——法阵(3892),0x01F25608
海底特工队(3891),0x01F25988
祝福(3890),0x01F25BC8
捕鱼达人(3889),0x01F25ECE
深海玄冰术(3888),0x01F2639E
怪叔叔的爱(3887),0x01F266DC
小萝莉的力量(3886),0x01F26A0E
丢水球(3885),0x01F26F7C
水球大战_怪物的水球(3884),0x01F272FA
诛仙古卷群秒技能(3883),0x01F275AC
诛仙古卷自身清除祝福(3882),0x01F27894
自体无敌祝福(3881),0x01F27B78
诛仙古卷Buff加攻防4(3880),0x01F27E0E
诛仙古卷Buff加攻防3(3879),0x01F2817E
诛仙古卷Buff加攻防2(3878),0x01F284EE
诛仙古卷Buff加攻防(3877),0x01F2885E
愚人灵符(3876),0x01F28C4E
召唤宠物(3875),0x01F29006
爆竹之力(3873),0x01F298DE
吉祥如意(3872),0x01F29BC4
元旦副本(3871),0x01F29ECE
许愿(3870),0x01F2A200
焚香灼烧触发效果(3869),0x01F4A3E0
雪人变身(3868),0x01F4A62A
捕鼠夹技能(3867),0x01F4A992
放置捕鼠夹(3866),0x01F4AD32
天地绝<禅>(3859),0x01F4CD80
天地绝<煞>(3858),0x01F4D642
天地绝<玄>(3857),0x01F4DF10
武者：昊(3852),0x01F4F83A
斗魂：昊(3851),0x01F4FBB0
兵鉴：昊(3850),0x01F500AA
临玄：昊(3849),0x01F5045C
武者：华(3848),0x01F5072E
斗魂：华(3847),0x01F50AA4
兵鉴：华(3846),0x01F50F9E
临玄：华(3845),0x01F513DC
武者：影(3844),0x01F516AE
斗魂：影(3843),0x01F51AB0
兵鉴：影(3842),0x01F52062
临玄：影(3841),0x01F52414
